address,year,day,length,weight,count,looped,neighbors,income,label
112Ns49UobQn1cX1G1axs1cmGvjFBxVxvf,2016,146,144,0.877484787,4817,0,1,104020000,montrealCryptXXX
112wED5uHhY1aiSaWAzgeMDaCKFcCvj9Pn,2016,158,56,3.05E-05,1,0,1,120000000,montrealCryptXXX
112wED5uHhY1aiSaWAzgeMDaCKFcCvj9Pn,2016,156,8,0.75,2,0,4,240000000,montrealCryptXXX
113ESVqntvYprqQbsPN6tEmtE1bB44uokS,2016,155,6,0.5,6,0,2,120000000,montrealCryptXXX
114gGmini5G9hEwEkWtKXoQqT1D6S5AJvU,2016,137,0,1,1,0,2,119990000,montrealCryptXXX
115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,182,2,0.5,1,0,1,122000000,montrealCryptXXX
115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,168,144,0.407676468,3060,0,2,120000000,montrealCryptXXX
115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,163,4,0.333333333,1,0,2,120000000,montrealCryptXXX
115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,160,144,0.148448867,4309,0,2,119989395,montrealCryptXXX
115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,161,0,0.2,1,0,2,120000000,montrealCryptXXX
11mBErpPx1pJNQyLnZDoNwVxhqTwTeHfU,2016,158,0,1,1,0,2,120000000,montrealCryptXXX
11mBErpPx1pJNQyLnZDoNwVxhqTwTeHfU,2016,135,8,0.03125,1,0,2,120000000,montrealCryptXXX
121P5TiHimHace3ZNuXU4hde9kWqPE1jHC,2016,161,0,0.5,1,0,2,120000000,montrealCryptXXX
1223GLPpMTKXxyGg3WcHpRsPD4JGa7cXVk,2016,160,6,0.0625,1,0,4,240000000,montrealCryptXXX
123bzPBEJK2N9aoTAU7TRqLbwzmFWq89S7,2016,160,4,0.5,1,0,2,120000000,montrealCryptXXX
1246v8SAeajt6k3QFVzp4My8U13PLZTyV4,2016,160,144,0.960834983,4820,10,2,59895323,montrealCryptXXX
124cUCq1tkYhFf39NAnN6dYRwkLrvBNLAx,2016,137,144,0.988094059,5659,2973,2,71248142,montrealCryptXXX
124mKpjUJzXQ4PBZF3bnGKdYmDYhZaZKb6,2016,159,36,0.015625,1,0,1,120000000,montrealCryptXXX
124srvGnUNzg1AAiXYgoQj2PwocehAJLX9,2016,155,0,1,1,0,2,120000000,montrealCryptXXX
124srvGnUNzg1AAiXYgoQj2PwocehAJLX9,2016,160,2,0.5,1,0,2,120000000,montrealCryptXXX
1251GTBafwFoEKc9XffTnaGAhyM1V1op3G,2016,161,0,0.5,1,0,2,120050000,montrealCryptXXX
125DiUeg9dQ4LXfTJRYaSafYAbWPawooEd,2016,138,44,0.25,1,0,2,120000000,montrealCryptXXX
125DiUeg9dQ4LXfTJRYaSafYAbWPawooEd,2016,145,0,0.5,1,0,2,120000000,montrealCryptXXX
125DiUeg9dQ4LXfTJRYaSafYAbWPawooEd,2016,133,122,0.000489235,5,0,2,120000000,montrealCryptXXX
125DiUeg9dQ4LXfTJRYaSafYAbWPawooEd,2016,134,74,4.77E-07,1,0,2,120000000,montrealCryptXXX
125earjdxmmE8Yhszv4dqmrH3jUzSG9DJH,2016,137,44,1.53E-05,1,0,2,120000000,montrealCryptXXX
125earjdxmmE8Yhszv4dqmrH3jUzSG9DJH,2016,140,0,0.25,1,0,2,120000000,montrealCryptXXX
125earjdxmmE8Yhszv4dqmrH3jUzSG9DJH,2016,134,2,0.666666667,2,0,4,240000000,montrealCryptXXX
126QgMcdZormJkN9ukFCtBLrftzTCy7UdE,2016,168,0,0.5,1,0,2,120000000,montrealCryptXXX
12addFeCpU2ZPoHK26Pv8wZ3A7nuxDp1sk,2016,160,144,0.60918947,1265,0,2,120000000,montrealCryptXXX
12addFeCpU2ZPoHK26Pv8wZ3A7nuxDp1sk,2016,169,28,0.001953125,1,0,2,240000000,montrealCryptXXX
12afJVxkHxYQ7sjp7uMuC8vnY4kmTKxAMH,2016,176,144,0.388529408,5952,1702,1,120000000,montrealCryptXXX
12afJVxkHxYQ7sjp7uMuC8vnY4kmTKxAMH,2016,175,0,1,1,0,2,120000000,montrealCryptXXX
12bwGmoaJ3sMhK8t6m3MZr4syRBSUpzYZV,2016,146,144,0.138341477,4726,0,1,112676003,montrealCryptXXX
12c77V7e7fTcbtzDtybGPyUWnDYSn3LLEr,2016,218,4,0.25,1,0,2,120000000,montrealCryptXXX
12cFm9z7zqVBgJphn84uKrJJ8731vXRche,2016,151,0,0.5,1,0,2,240000000,montrealCryptXXX
12cFm9z7zqVBgJphn84uKrJJ8731vXRche,2016,166,0,0.5,1,0,2,120000000,montrealCryptXXX
12cFm9z7zqVBgJphn84uKrJJ8731vXRche,2016,158,0,1,1,0,2,120000000,montrealCryptXXX
12cFm9z7zqVBgJphn84uKrJJ8731vXRche,2016,146,12,0.125,1,0,2,120000000,montrealCryptXXX
12cPaVhJE6vnc9zPq2by1uGYAVAwU7X7aR,2016,172,46,0.000488281,1,0,2,120000000,montrealCryptXXX
